usage,product_name,delivery_code,month,pdb_ip_pub_date
4.88,"Learning Path: Blend Web and Native Mobile Apps, 2nd Edition, 1Ed",SafVideo,2017 / 10,2016-07-14
41.71,Learning Path: Build Apps for Amazon Web Services,SafVideo,2017 / 10,2015-08-20
74.59,"Learning Path: Build Apps for Amazon Web Services - Assessments, 1Ed",SafVideo,2017 / 10,2017-05-02
1314.8,"Learning Path: Build Spring MVC Web Applications, 1Ed",SafVideo,2017 / 10,2016-04-19
920.12,"Learning Path: Build and Maintain Networks, 1Ed",SafVideo,2017 / 10,2016-06-03
2.24,"Learning Path: Building Better Regexes, 1Ed",SafVideo,2017 / 10,2017-09-08
3.41,"Learning Path: Building Containers from Scratch with Go, 1Ed",SafVideo,2017 / 10,2017-07-20
6.74,"Learning Path: Building Technology Radars, 1Ed",SafVideo,2017 / 10,2017-06-12
1.37,"Learning Path: Building a React App from Scratch, 1Ed",SafVideo,2017 / 10,2017-09-18
22.25,"Learning Path: Building and Managing Design Teams, 1Ed",SafVideo,2017 / 10,2017-05-23
227.18,Learning Path: C#,SafVideo,2017 / 10,2015-08-19
756.26,"Learning Path: C# - Assessments, 1Ed",SafVideo,2017 / 10,2017-05-02
72.46,"Learning Path: CCNA Routing and Switching Certification Exam Preparation, 1Ed",SafVideo,2017 / 10,2017-08-14
98.09,"Learning Path: CCNP v2.0 Routing and Switching Certification Exam Preparation, 1Ed",SafVideo,2017 / 10,2017-08-25
0.54,"Learning Path: CSS Animations, 1Ed",SafVideo,2017 / 10,2017-08-04
73.71,Learning Path: CSS Fundamentals,SafVideo,2017 / 10,2015-08-25
0.09,"Learning Path: CSS The Basics, 1Ed",SafVideo,2017 / 10,2017-05-22
0.29,"Learning Path: CSS Transitions, 1Ed",SafVideo,2017 / 10,2017-08-10
5.54,"Learning Path: Case Studies of Steering Agile Architecture , 1Ed",SafVideo,2017 / 10,2017-04-27
143.35,"Learning Path: Cisco Routing and Switching Exam Prep, 1Ed",SafVideo,2017 / 10,2015-10-19
326.24,"Learning Path: Clojure Fundamentals, 1Ed",SafVideo,2017 / 10,2016-05-04
91.04,"Learning Path: Cloud Native Architecture Fundamentals, 1Ed",SafVideo,2017 / 10,2017-05-31
69.99,"Learning Path: Communication Skills for Designers, 1Ed",SafVideo,2017 / 10,2017-04-19
18.96,"Learning Path: CompTIA A+ Certification (220-901 & 220-902), 1Ed",SafVideo,2017 / 10,2017-06-13
40.4,"Learning Path: CompTIA Network+ Certification Preparation (2015 Objectives), 1Ed",SafVideo,2017 / 10,2017-08-25
27.96,"Learning Path: Constraints in iOS, 1Ed",SafVideo,2017 / 10,2017-04-17
0.0,"Learning Path: Containers and Go, 1Ed",SafVideo,2017 / 10,2017-07-17
1278.34,"Learning Path: Continuous Integration with Jenkins, 1Ed",SafVideo,2017 / 10,2017-07-03
5.56,"Learning Path: Conversational User Interface and Bots, 1Ed",SafVideo,2017 / 10,2017-05-18
0.94,"Learning Path: Creating Better Game Assets in Blender, 1Ed",SafVideo,2017 / 10,2017-07-17
21.07,"Learning Path: Creating Simulations to Discover New Business Models, 1Ed",SafVideo,2017 / 10,2017-03-31
89.44,"Learning Path: Creating a Data Science Culture, 1Ed",SafVideo,2017 / 10,2016-05-10
12.26,"Learning Path: Data Analysis Using Spark 2.0 DataFrames with Python, 1Ed",SafVideo,2017 / 10,2017-08-10
86.48,"Learning Path: Data Analytics with Amazon???s ElasticMapReduce (AWS EMR), 1Ed",SafVideo,2017 / 10,2017-06-22
92.86,Learning Path: Data Visualization,SafVideo,2017 / 10,2015-08-17
37.51,"Learning Path: Data Visualization - Assessments, 1Ed",SafVideo,2017 / 10,2017-05-02
33.13,Learning Path: Data-Informed Design,SafVideo,2017 / 10,2015-12-16
89.29,"Learning Path: Data-driven Business Models, 1Ed",SafVideo,2017 / 10,2017-03-31
0.33,"Learning Path: Decision-Making Skills for Software Architects, 1Ed",SafVideo,2017 / 10,2017-06-22
452.69,"Learning Path: Deep Learning Models and Computer Vision with TensorFlow, 1Ed",SafVideo,2017 / 10,2017-06-22
2336.44,"Learning Path: Delivering Applications with Docker, 1Ed",SafVideo,2017 / 10,2017-04-28
1.15,"Learning Path: Deploying Microservices, 1Ed",SafVideo,2017 / 10,2017-06-05
59.31,Learning Path: Design for Mobile,SafVideo,2017 / 10,2015-08-17
37.09,"Learning Path: Designing Hardware with Autodesk 123D, Inventor, and AutoCAD 3D",SafVideo,2017 / 10,2015-11-02
2793.22,Learning Path: Designing Web APIs,SafVideo,2017 / 10,2015-11-16
1184.02,"Learning Path: Designing Windows Apps with WPF, 1Ed",SafVideo,2017 / 10,2016-08-11
18.86,Learning Path: Designing for Physical UX,SafVideo,2017 / 10,2015-12-08
33.48,"Learning Path: Developing Event-Driven Microservices, 1Ed",SafVideo,2017 / 10,2017-05-22
248.44,"Learning Path: Developing a Modern Enterprise Data Strategy, 1Ed",SafVideo,2017 / 10,2017-03-31
64.88,Learning Path: Dive Deeper into PHP Programming,SafVideo,2017 / 10,2015-12-10
377.69,"Learning Path: Enterprise Integration and Batch Processing with Spring, 1Ed",SafVideo,2017 / 10,2016-12-21
294.33,Learning Path: Enterprise Java Development,SafVideo,2017 / 10,2015-11-20
903.84,"Learning Path: Enterprise Java Development - Assessments, 1Ed",SafVideo,2017 / 10,2017-05-02
510.63,"Learning Path: Enterprise Messaging Techniques, 1Ed",SafVideo,2017 / 10,2016-06-02
642.05,"Learning Path: Enterprise Web Programming with Java, 1Ed",SafVideo,2017 / 10,2016-08-25
19.22,"Learning Path: Exposing Agile Architecture, 1Ed",SafVideo,2017 / 10,2017-04-27
3.3,"Learning Path: Functional Programming in Kotlin, 1Ed",SafVideo,2017 / 10,2017-06-13
3.01,"Learning Path: Functions and Classes in Kotlin, 1Ed",SafVideo,2017 / 10,2017-06-13
704.18,"Learning Path: Get Started with Natural Language Processing Using Python, Spark, and Scala, 1Ed",SafVideo,2017 / 10,2017-03-31
27.84,"Learning Path: Getting Started with Gradle, 1Ed",SafVideo,2017 / 10,2017-07-20
53.18,"Learning Path: Getting Started with Kudu, 1Ed",SafVideo,2017 / 10,2017-03-31
20.08,"Learning Path: Getting Started with Swift on the iPad, 1Ed",SafVideo,2017 / 10,2017-04-17
969.01,"Learning Path: Getting Up and Running with Apache Spark, 1Ed",SafVideo,2017 / 10,2016-12-19
42.55,Learning Path: Git,SafVideo,2017 / 10,2015-08-17
220.38,"Learning Path: Git - Assessments, 1Ed",SafVideo,2017 / 10,2017-05-02
315.96,"Learning Path: GitHub, 1Ed",SafVideo,2017 / 10,2016-08-10
0.2,"Learning Path: Go Core Techniques and Tools, 1Ed",SafVideo,2017 / 10,2017-05-19
